,r_in,delta_r,m_disk,f_star,position_angle,inclination,xoffs_stellar,yoffs_stellar,r_in_gap,delta_r_gap,lnprob
14348,14.2849837614,147.458048241,-7.19072883847,2.51563821174e-05,55.712335621,43.9570158458,0.0440710524055,0.0405468138595,63.8028896189,6.61510974414,-10733015.875
14349,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14353,12.1997982488,158.946843923,-7.1537818294,2.84784749835e-05,63.3600700308,47.9646790802,0.165718277666,0.0323897576563,53.505180093,4.90049497301,-10733016.5312
14370,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14372,14.4402938156,146.39248195,-7.18778054437,2.77098823822e-05,55.3457280002,42.810378501,0.0418597680456,0.0701804127048,59.7626204526,4.57165405873,-10733019.9062
14373,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14394,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14396,17.2119963387,144.213684467,-7.18603381449,2.50557120988e-05,57.7067420871,43.9796973504,0.0844229014657,0.0588985268998,69.8100543273,5.73030362736,-10733014.5312
14397,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14418,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14420,17.2119963387,144.213684467,-7.18603381449,2.50557120988e-05,57.7067420871,43.9796973504,0.0844229014657,0.0588985268998,69.8100543273,5.73030362736,-10733014.5312
14421,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14435,32.0445117507,122.365495544,-7.23091281649,2.71491228409e-05,62.4254597673,43.8230733094,0.0584469833019,-0.0509407482498,73.1897099252,17.6023063345,-10733013.7812
14442,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14444,17.2119963387,144.213684467,-7.18603381449,2.50557120988e-05,57.7067420871,43.9796973504,0.0844229014657,0.0588985268998,69.8100543273,5.73030362736,-10733014.5312
14445,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14459,32.0445117507,122.365495544,-7.23091281649,2.71491228409e-05,62.4254597673,43.8230733094,0.0584469833019,-0.0509407482498,73.1897099252,17.6023063345,-10733013.7812
14466,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14468,20.0174112001,140.258852326,-7.18562461255,2.66054589317e-05,57.6515180375,42.8761496584,0.079257019851,0.0759517962415,74.7311446331,7.05236925247,-10733015.0625
14469,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14483,32.0445117507,122.365495544,-7.23091281649,2.71491228409e-05,62.4254597673,43.8230733094,0.0584469833019,-0.0509407482498,73.1897099252,17.6023063345,-10733013.7812
14490,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14492,20.0230745865,140.095083662,-7.18817276576,2.68156052811e-05,57.3704179848,42.659253985,0.0799196932825,0.087264041556,74.8757729813,7.06107847989,-10733015.4375
14493,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14507,32.0445117507,122.365495544,-7.23091281649,2.71491228409e-05,62.4254597673,43.8230733094,0.0584469833019,-0.0509407482498,73.1897099252,17.6023063345,-10733013.7812
14514,31.2721904686,138.135990315,-7.17970039425,2.99611126271e-05,63.0984203865,51.214782561,0.174655261461,-0.0498318450717,82.7099482835,11.8363884189,-10733015.625
14516,23.9191133461,134.349084947,-7.20202442858,2.69236952975e-05,59.0087111811,43.0364372731,0.072960582719,0.0424731225929,74.3293352362,10.4773948266,-10733012.0312
14517,29.7795295884,137.215664037,-7.18035921363,2.88595820529e-05,59.5505594478,48.0683833208,0.029643055894,0.0483760080357,70.3932620865,12.772625938,-10733013.7188
14523,25.7709455654,138.905331603,-7.19409621664,2.55860935493e-05,60.9380764414,46.9456711399,0.189585832975,0.0118163005507,86.4711365212,5.12269365123,-10733011.875
